afTimesInSeconds	afPressures1	afPressures2	afPressures3	afPressures4	afPressures5	afPressures6	afPressures7	afPressures8	afAveragePressure	abActiveZones
0.000	0.000	5.000	4.000	6.000	2.000	-1.000	-7.000	-3.000	0.819	0.000
0.100	0.000	5.000	4.000	6.000	2.000	-1.000	-7.000	-3.000	0.819	0.000
0.217	0.000	5.000	4.000	6.000	2.000	-1.000	-7.000	-3.000	0.819	0.000
0.351	0.000	5.000	4.000	6.000	1.000	-1.000	-7.000	-4.000	0.531	0.000
0.517	0.000	5.000	4.000	6.000	1.000	-2.000	-8.000	-4.000	0.245	0.000
0.696	0.000	5.000	4.000	6.000	2.000	-2.000	-8.000	-4.000	0.402	0.000
0.817	0.000	5.000	4.000	6.000	1.000	-2.000	-8.000	-4.000	0.245	0.000
1.000	0.000	5.000	4.000	6.000	1.000	-1.000	-7.000	-4.000	0.531	0.000
1.118	0.000	5.000	4.000	6.000	2.000	-1.000	-7.000	-4.000	0.687	0.000
1.236	0.000	5.000	4.000	6.000	2.000	-1.000	-7.000	-3.000	0.819	0.000
1.359	0.000	4.000	3.000	5.000	1.000	-1.000	-7.000	-3.000	0.247	0.000
1.478	0.000	2.000	2.000	3.000	0.000	-2.000	-7.000	-3.000	-0.717	0.000
1.602	0.000	1.000	1.000	3.000	0.000	-2.000	-7.000	-4.000	-1.131	0.000
1.719	0.000	0.000	0.000	3.000	0.000	-2.000	-7.000	-4.000	-1.415	0.000
1.899	0.000	0.000	0.000	2.000	0.000	-2.000	-6.000	-3.000	-1.272	0.000
2.022	0.000	0.000	-1.000	2.000	0.000	-2.000	-6.000	-3.000	-1.438	0.000
2.136	0.000	-3.000	-4.000	0.000	-2.000	-3.000	-5.000	-1.000	-2.602	0.000
2.256	0.000	-3.000	-4.000	0.000	-3.000	-2.000	-4.000	-1.000	-2.473	0.000
2.439	0.000	-4.000	-4.000	-3.000	-5.000	-4.000	-4.000	0.000	-3.453	0.000
2.557	0.000	-3.000	-5.000	-5.000	-6.000	-4.000	-5.000	-1.000	-4.196	0.000
2.861	0.000	1.000	-2.000	-2.000	-4.000	-3.000	-4.000	-1.000	-2.235	0.000
2.977	0.000	4.000	1.000	2.000	-1.000	-2.000	-5.000	-3.000	-0.651	0.000
3.101	0.000	4.000	2.000	2.000	-1.000	-2.000	-5.000	-3.000	-0.485	0.000
3.221	0.000	4.000	2.000	2.000	-1.000	-1.000	-5.000	-3.000	-0.342	0.000
3.341	0.000	5.000	3.000	3.000	0.000	-1.000	-5.000	-3.000	0.229	0.000
3.461	0.000	4.000	3.000	3.000	0.000	-1.000	-5.000	-3.000	0.112	0.000
3.577	0.000	4.000	2.000	2.000	0.000	-1.000	-4.000	-3.000	-0.043	0.000
3.700	0.000	4.000	2.000	2.000	0.000	0.000	-3.000	-2.000	0.374	0.000
3.818	0.000	4.000	2.000	3.000	2.000	3.000	-1.000	0.000	1.796	0.000
3.940	0.000	4.000	3.000	9.000	9.000	12.000	8.000	1.000	6.550	1.000
4.062	0.000	3.000	3.000	12.000	13.000	15.000	11.000	2.000	8.442	1.000
4.176	0.000	2.000	2.000	9.000	10.000	13.000	11.000	3.000	7.139	1.000
4.298	0.000	2.000	1.000	5.000	6.000	10.000	10.000	3.000	5.249	1.000
4.415	0.000	2.000	1.000	5.000	5.000	9.000	9.000	3.000	4.807	1.000
4.537	0.000	2.000	1.000	4.000	5.000	8.000	9.000	2.000	4.400	1.000
4.659	0.000	2.000	2.000	4.000	5.000	8.000	9.000	2.000	4.566	1.000
4.779	0.000	3.000	2.000	4.000	5.000	8.000	8.000	2.000	4.541	1.000
4.900	0.000	3.000	2.000	4.000	5.000	8.000	8.000	2.000	4.541	1.000
5.019	0.000	3.000	2.000	4.000	5.000	8.000	8.000	2.000	4.541	1.000
5.136	0.000	3.000	2.000	4.000	5.000	8.000	8.000	2.000	4.541	1.000
5.260	0.000	3.000	2.000	5.000	5.000	8.000	8.000	2.000	4.673	1.000
5.382	0.000	3.000	2.000	6.000	7.000	10.000	9.000	2.000	5.546	1.000
5.502	0.000	3.000	2.000	7.000	8.000	11.000	9.000	2.000	5.977	1.000
5.621	0.000	3.000	2.000	6.000	6.000	9.000	9.000	2.000	5.247	1.000
5.752	0.000	3.000	2.000	4.000	5.000	7.000	8.000	2.000	4.398	1.000
5.922	0.000	3.000	3.000	4.000	4.000	7.000	8.000	2.000	4.407	1.000
6.037	0.000	3.000	3.000	4.000	5.000	7.000	8.000	2.000	4.564	1.000
6.221	0.000	3.000	2.000	4.000	5.000	7.000	8.000	1.000	4.266	1.000
6.342	0.000	3.000	2.000	3.000	4.000	5.000	6.000	1.000	3.407	1.000
6.459	0.000	3.000	2.000	3.000	3.000	5.000	6.000	1.000	3.250	1.000
6.577	0.000	3.000	1.000	3.000	3.000	3.000	5.000	1.000	2.656	1.000
6.695	0.000	2.000	1.000	2.000	2.000	2.000	3.000	0.000	1.691	0.000
6.821	0.000	2.000	0.000	2.000	1.000	0.000	2.000	0.000	0.940	0.000
6.997	0.000	1.000	0.000	1.000	0.000	-1.000	0.000	-1.000	-0.025	0.000
7.115	0.000	2.000	0.000	1.000	0.000	-1.000	-1.000	-1.000	-0.051	0.000
7.240	0.000	2.000	0.000	1.000	0.000	-2.000	-2.000	-2.000	-0.468	0.000
7.357	0.000	2.000	1.000	1.000	0.000	-2.000	-2.000	-2.000	-0.302	0.000
7.476	0.000	2.000	1.000	1.000	0.000	-2.000	-2.000	-2.000	-0.302	0.000
7.598	0.000	2.000	0.000	1.000	0.000	-2.000	-3.000	-3.000	-0.742	0.000
7.721	0.000	2.000	0.000	0.000	-1.000	-2.000	-3.000	-3.000	-1.030	0.000
7.835	0.000	1.000	0.000	0.000	-1.000	-2.000	-3.000	-2.000	-1.016	0.000
7.960	0.000	1.000	0.000	0.000	-1.000	-2.000	-3.000	-2.000	-1.016	0.000
8.078	0.000	0.000	-1.000	-1.000	-1.000	-2.000	-3.000	-1.000	-1.299	0.000
8.198	0.000	0.000	-2.000	-1.000	-2.000	-2.000	-3.000	-1.000	-1.622	0.000
8.318	0.000	0.000	-2.000	-1.000	-2.000	-2.000	-3.000	-2.000	-1.753	0.000
8.438	0.000	0.000	-1.000	0.000	-2.000	-2.000	-3.000	-2.000	-1.456	0.000
8.560	0.000	1.000	-1.000	0.000	-1.000	-2.000	-3.000	-1.000	-1.050	0.000
8.682	0.000	1.000	-1.000	0.000	-1.000	-2.000	-2.000	-1.000	-0.908	0.000
8.800	0.000	0.000	-1.000	0.000	-1.000	-2.000	-3.000	-1.000	-1.168	0.000
8.921	0.000	0.000	-2.000	-1.000	-2.000	-2.000	-3.000	-1.000	-1.622	0.000
9.036	0.000	0.000	-2.000	-1.000	-2.000	-2.000	-2.000	0.000	-1.348	0.000
9.156	0.000	-1.000	-2.000	-1.000	-2.000	-2.000	-2.000	0.000	-1.465	0.000
9.280	0.000	-1.000	-2.000	-2.000	-2.000	-2.000	-2.000	0.000	-1.597	0.000
9.401	0.000	-2.000	-3.000	-3.000	-3.000	-2.000	-2.000	0.000	-2.168	0.000
9.519	0.000	-3.000	-4.000	-3.000	-3.000	-2.000	-2.000	0.000	-2.452	0.000
9.641	0.000	-3.000	-4.000	-3.000	-3.000	-1.000	-1.000	1.000	-2.034	0.000
9.758	0.000	-1.000	-3.000	-3.000	-4.000	-1.000	-1.000	2.000	-1.659	0.000
10.003	0.000	-2.000	-3.000	-2.000	-3.000	0.000	0.000	3.000	-1.071	0.000
10.123	0.000	-3.000	-3.000	-2.000	-3.000	-1.000	0.000	2.000	-1.462	0.000
10.241	0.000	-1.000	-3.000	0.000	-1.000	-1.000	-2.000	-1.000	-1.331	0.000
10.422	0.000	-1.000	-1.000	2.000	0.000	-1.000	-2.000	-1.000	-0.579	0.000
10.541	0.000	1.000	-1.000	2.000	1.000	-1.000	-3.000	-1.000	-0.331	0.000
10.663	0.000	2.000	1.000	4.000	2.000	0.000	-2.000	0.000	0.956	0.000
10.778	0.000	2.000	1.000	5.000	2.000	0.000	-2.000	0.000	1.088	0.000
10.896	0.000	0.000	1.000	4.000	2.000	1.000	0.000	2.000	1.412	0.000
11.018	0.000	-3.000	-3.000	-1.000	-2.000	-2.000	-3.000	-1.000	-2.140	0.000
11.141	0.000	-5.000	-5.000	-4.000	-5.000	-3.000	-3.000	0.000	-3.582	0.000
11.260	0.000	-6.000	-7.000	-6.000	-6.000	-3.000	-3.000	-1.000	-4.583	0.000
11.381	0.000	-9.000	-8.000	-7.000	-7.000	-2.000	-3.000	0.000	-5.115	0.000
11.501	0.000	0.000	0.000	-9.000	-9.000	-2.000	1.000	4.000	-2.212	0.000
11.617	0.000	0.000	0.000	-9.000	-8.000	-1.000	0.000	2.000	-2.318	0.000
11.735	0.000	-9.000	0.000	-9.000	-8.000	-2.000	-1.000	2.000	-3.659	0.000
11.859	0.000	-9.000	-9.000	-9.000	-8.000	-2.000	0.000	3.000	-4.878	0.000
11.979	0.000	-8.000	-9.000	-9.000	-8.000	-3.000	-3.000	0.000	-5.727	0.000
12.102	0.000	-7.000	-8.000	-8.000	-7.000	-4.000	-4.000	-2.000	-5.704	0.000
12.216	0.000	-7.000	-8.000	-7.000	-7.000	-3.000	-3.000	-1.000	-5.155	0.000
